gdp_2018_wb,source_iso_code,source_country,vol_kg,val_usd,vol_kg_recon,val_usd_recon,ene_tj_recon,co2_t_recon,bau_usd_23_recon,bau_usd_30_recon,bau_usd_40_recon,bau_usd_50_recon,s24_usd_23_recon,s24_usd_30_recon,s24_usd_40_recon,s24_usd_50_recon,pct_vol_recon,pct_val_recon,s24_usd_23_recon_del,s24_usd_30_recon_del,s24_usd_40_recon_del,s24_usd_50_recon_del,bau_23_pct_gdp,bau_30_pct_gdp,bau_40_pct_gdp,bau_50_pct_gdp,s24_23_pct_gdp,s24_30_pct_gdp,s24_40_pct_gdp,s24_50_pct_gdp,s24_del_23_pct_gdp,s24_del_30_pct_gdp,s24_del_40_pct_gdp,s24_del_50_pct_gdp
11253727815.4762,498,"Moldova, Republic of",1305380759.875,659900687.35,1305380759.875,659900687.35,188.7362714527425,14529.452147434484,9333823.85902928,9237236.842303898,8021619.230097563,7947899.253291128,9333823.85902928,10279584.890953418,12063536.644165913,13015207.811626052,100.0,100.0,0.0,1042348.0486495197,4041917.4140683496,5067308.558334924,0.08294,0.08208,0.07128,0.07062,0.08294,0.09134,0.1072,0.11565,0.0,0.00926,0.03592,0.04503
5506944403.30196,499,Montenegro,158542399.749,38944323.894,158542399.749,38944323.894,23.552824214855846,1785.580223719566,1230709.7772789223,1198667.1804974335,1103546.3063955926,1078607.8963859512,1230709.7772789223,1340896.3844344427,1578414.973206282,1675593.3052698434,100.0,100.0,0.0,142229.2039370092,474868.66681068926,596985.4088838922,0.02235,0.02177,0.02004,0.01959,0.02235,0.02435,0.02866,0.03043,0.0,0.00258,0.00862,0.01084
,500,Montserrat,25090.0,392624.83200000005,25090.0,392624.83200000005,0.0018989485097338,0.1446461681073472,72.85679094537485,73.12859557588084,69.81808372520504,68.83211155424476,72.85679094537485,80.3630765923545,92.84666339036595,96.565224655272,100.0,100.0,0.0,7.234481016473666,23.028579665160905,27.733113101027243,,,,,,,,,,,,
127341141871.205,504,Morocco,15211363089.251,16455014054.599,15211363089.251,16455014054.599,5620.02108042362,433852.78330876393,244447566.06890872,240557302.81091696,207889998.95842925,202127283.0570647,244447566.06890872,274340402.84216666,333708131.2480057,352565255.7974079,100.0,100.0,0.0,33783100.0312497,125818132.28957644,150437972.7403432,0.19196,0.18891,0.16325,0.15873,0.19196,0.21544,0.26206,0.27687,0.0,0.02653,0.0988,0.11814
14845400592.6712,508,Mozambique,2233630618.719,843008544.73,2233630618.719,843008544.73,941.4880401789435,72891.74485301739,46726358.457554236,46756830.50109149,39484868.38494015,37504219.07946804,46726358.457554236,52107310.762093894,61609509.93384824,64361784.44929037,100.0,100.0,0.0,5350480.2610024065,22124641.548908092,26857565.36982233,0.31475,0.31496,0.26597,0.25263,0.31475,0.351,0.41501,0.43355,0.0,0.03604,0.14903,0.18092
91505851755.5267,512,Oman,49441191420.126,18660934798.457,49441191420.126,18660934798.457,21537.42779476387,1664082.604523248,998539659.5624526,973269394.3316591,863902910.6161047,844407689.496459,998539659.5624526,1093673059.8919392,1340679132.6219647,1418335756.5125673,100.0,100.0,0.0,120403665.56028008,476776222.00586,573928067.0161083,1.09123,1.06361,0.9441,0.92279,1.09123,1.19519,1.46513,1.54999,0.0,0.13158,0.52103,0.6272
13682019171.6627,516,Namibia,309814665.509,447933889.561,309814665.509,447933889.561,107.4394521751837,8287.603450442606,4080621.549798666,3737503.403201481,3447302.2994923396,3288769.3840321777,4080621.549798666,4456254.500672265,6035280.17731812,6394722.445953164,100.0,100.0,0.0,718751.0974707841,2587977.877825781,3105953.0619209865,0.02982,0.02732,0.0252,0.02404,0.02982,0.03257,0.04411,0.04674,0.0,0.00525,0.01892,0.0227
130995580.092154,520,Nauru,31623854.407,3769400.006,31623854.407,3769400.006,13.208103492151059,1018.6413309380407,702994.5447815411,708700.4677763309,588657.897386846,597568.2676469391,702994.5447815411,770734.0070419769,880910.1242390628,976348.2297144904,100.0,100.0,0.0,62033.53926564602,292252.22685221676,378779.9620675512,0.53666,0.54101,0.44937,0.45617,0.53666,0.58837,0.67247,0.74533,0.0,0.04736,0.2231,0.28915
33111525182.7133,524,Nepal,111080635.461,166986034.642,111080635.461,166986034.642,20.556019734373454,1589.4110825167331,682512.8812024132,623535.3987062781,564280.4953699692,540325.0060759642,682512.8812024132,753253.4757369413,993598.9949085115,1046331.2155538766,100.0,100.0,0.0,129718.07703066326,429318.49953854235,506006.2094779124,0.00206,0.00188,0.0017,0.00163,0.00206,0.00227,0.003,0.00316,0.0,0.00039,0.0013,0.00153
914043438179.591,528,Netherlands (Kingdom of the),171506401645.277,179689219659.907,171506401645.277,179689219659.907,31320.967118531706,2396112.09856348,1114860579.2161171,1057497145.7798848,959239800.2407733,918158833.8501861,1114860579.2161171,1178967451.3826063,1506820061.3030598,1584572139.5871532,100.0,100.0,0.0,121470305.60272145,547580261.0622865,666413305.7369671,0.12197,0.11569,0.10494,0.10045,0.12197,0.12898,0.16485,0.17336,0.0,0.01329,0.05991,0.07291
